id,title,price,rating,category,risk_note
1,Essence Mascara Lash Princess,9.99,2.56,beauty,HIGH
2,Eyeshadow Palette with Mirror,19.99,2.86,beauty,HIGH
10,Gucci Bloom Eau de,79.99,2.74,fragrances,HIGH
11,Annibale Colombo Bed,1899.99,4.77,furniture,HIGH
12,Annibale Colombo Sofa,2499.99,3.92,furniture,HIGH
13,Bedside Table African Cherry,299.99,2.87,furniture,HIGH
15,Wooden Bathroom Sink With Mirror,799.99,3.59,furniture,HIGH
17,Beef Steak,12.99,4.47,groceries,HIGH
23,Eggs,2.99,2.53,groceries,HIGH
32,Milk,3.49,2.61,groceries,HIGH
34,Nescafe Coffee,7.99,4.82,groceries,HIGH
41,Tissue Paper Box,2.49,2.69,groceries,HIGH
51,Boxed Blender,39.99,4.56,kitchen-accessories,HIGH
67,Mug Tree Stand,15.99,2.64,kitchen-accessories,HIGH
68,Pan,24.99,2.79,kitchen-accessories,HIGH
76,Wooden Rolling Pin,11.99,2.92,kitchen-accessories,HIGH
78,Apple MacBook Pro 14 Inch Space Grey,1999.99,3.65,laptops,HIGH
79,Asus Zenbook Pro Dual Screen Laptop,1799.99,3.95,laptops,HIGH
80,Huawei Matebook X Pro,1399.99,4.98,laptops,HIGH
81,Lenovo Yoga 920,1099.99,2.86,laptops,HIGH
82,New DELL XPS 13 9300 Laptop,1499.99,2.67,laptops,HIGH
85,Man Plaid Shirt,34.99,3.46,mens-shirts,HIGH
86,Man Short Sleeve Shirt,19.99,2.9,mens-shirts,HIGH
87,Men Check Shirt,27.99,2.72,mens-shirts,HIGH
94,Longines Master Collection,1499.99,3.87,mens-watches,HIGH
95,Rolex Cellini Date Black Dial,8999.99,4.97,mens-watches,HIGH
96,Rolex Cellini Moonphase,12999.99,2.58,mens-watches,HIGH
97,Rolex Datejust,10999.99,3.66,mens-watches,HIGH
98,Rolex Submariner Watch,13999.99,2.69,mens-watches,HIGH
101,Apple AirPods Max Silver,549.99,3.47,mobile-accessories,HIGH
102,Apple Airpower Wireless Charger,79.99,3.68,mobile-accessories,HIGH
106,Apple Watch Series 4 Gold,349.99,2.74,mobile-accessories,HIGH
112,TV Studio Camera Pedestal,499.99,2.78,mobile-accessories,HIGH
113,Generic Motorcycle,3999.99,4.91,motorcycle,HIGH
114,Kawasaki Z800,8999.99,3.98,motorcycle,HIGH
115,MotoGP CI.H1,14999.99,2.97,motorcycle,HIGH
116,Scooter Motorcycle,2999.99,2.53,motorcycle,HIGH
117,Sportbike Motorcycle,7499.99,3.94,motorcycle,HIGH
119,Olay Ultra Moisture Shea Butter Body Wash,12.99,4.51,skin-care,HIGH
121,iPhone 5s,199.99,2.83,smartphones,HIGH
123,iPhone 13 Pro,1099.99,4.12,smartphones,HIGH
124,iPhone X,899.99,2.51,smartphones,HIGH
133,Samsung Galaxy S10,699.99,3.06,smartphones,HIGH
136,Vivo X21,499.99,4.26,smartphones,HIGH
138,Baseball Ball,8.99,2.57,sports-accessories,HIGH
146,Feather Shuttlecock,5.99,2.85,sports-accessories,HIGH
153,Volleyball,11.99,3.84,sports-accessories,HIGH
157,Party Glasses,19.99,2.79,sunglasses,HIGH
160,Samsung Galaxy Tab S8 Plus Grey,599.99,4.68,tablets,HIGH
164,Gray Dress,34.99,2.72,tops,HIGH
167,300 Touring,28999.99,4.05,vehicle,HIGH
168,Charger SXT RWD,32999.99,2.58,vehicle,HIGH
169,Dodge Hornet GT Plus,24999.99,2.65,vehicle,HIGH
170,Durango SXT RWD,36999.99,4.07,vehicle,HIGH
171,Pacifica Touring,31999.99,3.62,vehicle,HIGH
172,Blue Women's Handbag,49.99,2.92,womens-bags,HIGH
174,Prada Women Bag,599.99,2.71,womens-bags,HIGH
176,Women Handbag Black,59.99,2.89,womens-bags,HIGH
185,Black & Brown Slipper,19.99,2.53,womens-shoes,HIGH
187,Golden Shoes Woman,49.99,3.26,womens-shoes,HIGH
190,IWC Ingenieur Automatic Steel,4999.99,2.93,womens-watches,HIGH
191,Rolex Cellini Moonphase,15999.99,3.83,womens-watches,HIGH
192,Rolex Datejust Women,10999.99,2.86,womens-watches,HIGH
193,Watch Gold for Women,799.99,4.24,womens-watches,HIGH
